City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
36,Popondetta,-8.7537,148.2534,73.15,96,96,3.29,PG,2021-10-31 15:34:43
37,Kirkwall,58.9848,-2.9587,50.34,87,40,14.97,GB,2021-10-31 15:34:43
38,Bar Bigha,25.2167,85.7333,71.11,62,0,5.17,IN,2021-10-31 15:34:44
39,Nikolskoye,59.7035,30.7861,47.88,84,50,8.05,RU,2021-10-31 15:34:44
40,Clyde River,70.4692,-68.5914,23.23,93,75,12.66,CA,2021-10-31 15:34:45
41,Atuona,-9.8,-139.0333,80.08,67,95,13.38,PF,2021-10-31 15:34:45
42,Brae,60.3964,-1.353,49.91,87,100,15.95,GB,2021-10-31 15:34:45
43,Mahebourg,-20.4081,57.7,75.49,78,40,3.44,MU,2021-10-31 15:34:46
44,Mnogovershinnyy,53.9353,139.9242,15.24,77,48,3.47,RU,2021-10-31 15:34:46
45,Ajdabiya,30.7554,20.2263,70.84,71,52,13.4,LY,2021-10-31 15:34:47
46,Oussouye,12.485,-16.5469,93.38,51,38,10.04,SN,2021-10-31 15:34:47
47,Okhotsk,59.3833,143.3,10.15,72,0,17.09,RU,2021-10-31 15:34:47
48,Vaini,-21.2,-175.2,69.96,100,75,4.61,TO,2021-10-31 15:34:48
49,Vestmannaeyjar,63.4427,-20.2734,40.19,70,20,28.77,IS,2021-10-31 15:34:48
50,Atikokan,48.7555,-91.6216,34.25,76,100,8.03,CA,2021-10-31 15:34:49
51,Kutum,14.2,24.6667,84.34,20,47,6.96,SD,2021-10-31 15:34:49
52,Itarema,-2.9248,-39.9167,87.04,60,70,16.93,BR,2021-10-31 15:34:49
53,Newburn,54.9876,-1.7442,52.18,87,20,9.22,GB,2021-10-31 15:34:50
54,Ketchikan,55.3422,-131.6461,30.67,100,90,3.44,US,2021-10-31 15:33:10
55,Puerto Ayora,-0.7393,-90.3518,73.36,80,89,9.13,EC,2021-10-31 15:29:52
56,Saint-Philippe,-21.3585,55.7679,74.79,76,28,6.76,RE,2021-10-31 15:34:51
57,Camabatela,-8.1881,15.375,71.04,88,88,0.96,AO,2021-10-31 15:34:51
58,Ushuaia,-54.8,-68.3,51.46,54,0,0.0,AR,2021-10-31 15:34:19
59,Mataura,-46.1927,168.8643,38.84,88,68,3.2,NZ,2021-10-31 15:34:52
60,Ust-Nera,64.5667,143.2,-15.79,100,69,5.53,RU,2021-10-31 15:34:52
61,Ostersund,63.1792,14.6357,41.61,100,90,6.91,SE,2021-10-31 15:34:52
